Epoch,Train Loss,Val Loss,mIoU,Road IoU,Lane IoU,Learning Rate
1,0.7342433482408524,0.6983758434653282,0.11166757345199585,0.054205697029829025,0.16912944987416267,4.0026362623551384e-05
2,0.6970729529857635,0.6904477030038834,0.2842472279444337,0.3490942306816578,0.2194002252072096,4.0105447598422434e-05
3,0.6637584418058395,0.6812598332762718,0.33310144394636154,0.42326242849230766,0.24294045940041542,4.023724623758234e-05
4,0.6375448703765869,0.6676524057984352,0.3989361645653844,0.5185175500810146,0.27935477904975414,4.0421744063706385e-05
5,0.6098794639110565,0.6476796567440033,0.45309794321656227,0.5913989506661892,0.31479693576693535,4.065892081076656e-05
6,0.5888575613498688,0.6223704665899277,0.4842673884704709,0.6318886801600456,0.3366460967808962,4.094875042625734e-05
7,0.5694965422153473,0.5933278575539589,0.5128878084942698,0.6673460528254509,0.3584295641630888,4.1291201074057844e-05
8,0.5507185459136963,0.5630736276507378,0.5418309606611729,0.7015104219317436,0.3821514993906021,4.168623513792842e-05
9,0.5330260246992111,0.5345606133341789,0.5629193112254143,0.7249936982989311,0.40084492415189743,4.213380922564274e-05
10,0.5215660557150841,0.509067952632904,0.5790234934538603,0.7418902814388275,0.41615670546889305,4.263387417375404e-05
11,0.5062823817133904,0.4876805394887924,0.5901531558483839,0.7530830577015877,0.42722325399518013,4.3186375052996e-05
12,0.49489229172468185,0.4694739915430546,0.5990276169031858,0.7614701837301254,0.43658505007624626,4.379125117431556e-05
13,0.48171228915452957,0.45524944737553596,0.6054430510848761,0.7666398733854294,0.44424622878432274,4.444843609553999e-05
14,0.4738440737128258,0.44343285635113716,0.6112361736595631,0.7711538597941399,0.45131848752498627,4.515785762867466e-05
15,0.4618718698620796,0.43498916178941727,0.6153820138424635,0.7735470831394196,0.45721694454550743,4.591943784783281e-05
16,0.4502282589673996,0.42892590537667274,0.6179736405611038,0.7742589861154556,0.461688295006752,4.67330930977954e-05
17,0.4442756026983261,0.4243726320564747,0.6208271998912096,0.7750698029994965,0.46658459678292274,4.7598734003199625e-05
18,0.43439745903015137,0.4224291667342186,0.6197348516434431,0.7724726051092148,0.46699709817767143,4.8516265478356496e-05
19,0.4243212640285492,0.4198959693312645,0.6217175554484129,0.7729853391647339,0.4704497717320919,4.948558673769569e-05
20,0.4173833802342415,0.4203842096030712,0.6167079731822014,0.7668937742710114,0.4665221720933914,5.050659130683647e-05
21,0.4113614559173584,0.41556208580732346,0.6226108726114035,0.7715398520231247,0.47368189319968224,5.157916703428219e-05
22,0.4035600498318672,0.41160716861486435,0.6226177085191011,0.7707663923501968,0.47446902468800545,5.270319610374075e-05
23,0.39979012310504913,0.40703142061829567,0.6236380990594625,0.7711461037397385,0.47613009437918663,5.3878555047065534e-05
24,0.3944941833615303,0.3996579311788082,0.630016753450036,0.7769139334559441,0.48311957344412804,5.510511475781735e-05
25,0.3910585343837738,0.391487792134285,0.6378123089671135,0.7840434536337852,0.49158116430044174,5.638274050544679e-05
26,0.3869244456291199,0.3851698860526085,0.642531331628561,0.7884408682584763,0.4966217949986458,5.771129195009258e-05
27,0.3804905489087105,0.380314938724041,0.6449285801500082,0.7908359542489052,0.4990212060511112,5.9090623157998325e-05
28,0.375392310321331,0.37594349682331085,0.6479075998067856,0.793526902794838,0.5022882968187332,6.052058261754145e-05
29,0.37113410234451294,0.3726545684039593,0.6502675879746675,0.7955989688634872,0.5049362070858479,6.200101325587644e-05
30,0.3690885230898857,0.37110041081905365,0.6501390635967255,0.7953222990036011,0.5049558281898499,6.353175245618831e-05
31,0.3660902827978134,0.3684046305716038,0.6519703343510628,0.7970206066966057,0.5069200620055199,6.511263207555496e-05
32,0.3609834685921669,0.3674479052424431,0.6515359804034233,0.7962848171591759,0.5067871436476707,6.674347846341675e-05
33,0.35485338419675827,0.36473849788308144,0.6547815334051847,0.7991202399134636,0.5104428268969059,6.842411248065151e-05
34,0.35297825932502747,0.36209480464458466,0.6576999723911285,0.8017802834510803,0.5136196613311768,7.01543495192509e-05
35,0.35236626118421555,0.35536473616957664,0.6643856931477785,0.8079409077763557,0.5208304785192013,7.19339995225995e-05
36,0.34755583852529526,0.3506920151412487,0.6689880453050137,0.8121770769357681,0.5257990136742592,7.376286700635148e-05
37,0.3449395224452019,0.34441087022423744,0.675604673102498,0.8182560950517654,0.5329532511532307,7.564075107990224e-05
38,0.3423171415925026,0.3402637578547001,0.6802123766392469,0.8224354982376099,0.537989255040884,7.756744546845668e-05
39,0.3359977677464485,0.33662281557917595,0.6846471857279539,0.8262233883142471,0.5430709831416607,7.954273853568589e-05
40,0.3338668793439865,0.33663931116461754,0.6827850118279457,0.8245510756969452,0.5410189479589462,8.156641330697527e-05
41,0.33229146152734756,0.336434006690979,0.6804202143102884,0.8224884420633316,0.5383519865572453,8.363824749325747e-05
42,0.3277939558029175,0.3361729495227337,0.6788601614534855,0.8207972869277,0.5369230359792709,8.575801351542946e-05
43,0.3264656066894531,0.33352648839354515,0.6813601367175579,0.8228715509176254,0.5398487225174904,8.792547852935111e-05
44,0.32328270375728607,0.33047829009592533,0.6838938985019922,0.8250253275036812,0.5427624695003033,9.01404044514212e-05
45,0.31759826093912125,0.32731401175260544,0.685137091204524,0.826190896332264,0.5440832860767841,9.24025479847304e-05
46,0.3165766969323158,0.3226786181330681,0.689807029440999,0.8304026424884796,0.5492114163935184,9.47116606457854e-05
47,0.3110286295413971,0.31772418320178986,0.6959229465574026,0.8355451002717018,0.5563007928431034,9.706748879180363e-05
48,0.3120678812265396,0.31665172427892685,0.6962498873472214,0.8356710523366928,0.5568287223577499,9.946977364857449e-05
49,0.30720213055610657,0.3158446941524744,0.6959888823330402,0.8353497087955475,0.556628055870533,0.00010191825133888395
50,0.3026767075061798,0.31587978079915047,0.6937313713133335,0.833265632390976,0.5541971102356911,0.00010441265291150027
51,0.30125879496335983,0.3149841371923685,0.6922333333641291,0.8319787159562111,0.552487950772047,0.0001069527043707167
52,0.29776880145072937,0.3054375946521759,0.7057362012565136,0.843531109392643,0.5679412931203842,0.00010953812670644791
53,0.2958618700504303,0.3027044292539358,0.7073845360428095,0.8448146656155586,0.5699544064700603,0.00011216863592487835
54,0.29166338592767715,0.29838983714580536,0.709986325353384,0.8470565602183342,0.5729160904884338,0.00011484394307965712
55,0.2919781282544136,0.29627126082777977,0.7109204884618521,0.847913347184658,0.5739276297390461,0.00011756375430363637
56,0.2837778925895691,0.29700856655836105,0.7080379165709019,0.8453422486782074,0.5707335844635963,0.00012032777084115191
57,0.2814076766371727,0.29525222815573215,0.7092098966240883,0.8461545184254646,0.572265274822712,0.00012313568908083928
58,0.27726901322603226,0.28828914277255535,0.7171400208026171,0.852665863931179,0.5816141776740551,0.00012598720058898394
59,0.275863915681839,0.28087551705539227,0.72157271951437,0.8565037474036217,0.5866416916251183,0.00012888199214340082
60,0.27949008345603943,0.2808701992034912,0.7186236809939146,0.8541067466139793,0.5831406153738499,0.00013181974576783944
61,0.26857898384332657,0.276727432385087,0.7270541284233332,0.8606379851698875,0.5934702716767788,0.00013480013876691302
62,0.270898200571537,0.2742012869566679,0.7273635845631361,0.8608505502343178,0.5938766188919544,0.00013782284376154382
63,0.26175135746598244,0.27437806501984596,0.7212558276951313,0.8560935407876968,0.5864181146025658,0.0001408875287249241
64,0.2590693347156048,0.2691775057464838,0.7263789139688015,0.8601290434598923,0.5926287844777107,0.00014399385701898706
65,0.2595187798142433,0.26079746149480343,0.7408963646739721,0.8714401349425316,0.6103525944054127,0.0001471414874313849
