               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088874,             0.10467,            0.015682,             0.75837,             0.18066,             0.21359,            0.079667,            0.072206,            0.079722,            0.012876,            0.070152,           0.0033164,           0.0033164
                   1,            0.064957,            0.075607,           0.0082181,             0.54754,             0.42482,             0.42828,             0.16333,            0.057726,            0.077864,           0.0033509,            0.040021,           0.0065181,           0.0065181
                   2,            0.057013,            0.073251,           0.0025504,              0.6096,              0.4888,             0.51576,              0.2288,            0.052155,            0.078999,           0.0020916,            0.009757,           0.0095877,           0.0095877
                   3,            0.051267,             0.07201,           0.0018643,             0.67241,             0.50967,             0.56263,             0.26908,            0.047928,             0.07705,           0.0016773,            0.009406,            0.009406,            0.009406
                   4,             0.04829,            0.070793,           0.0016313,             0.69425,             0.52657,             0.58506,              0.2912,             0.04544,            0.075178,           0.0015575,            0.009406,            0.009406,            0.009406
                   5,            0.046762,             0.07006,           0.0014769,             0.69758,             0.53205,             0.58721,             0.30178,            0.043904,            0.075468,            0.001465,            0.009208,            0.009208,            0.009208
                   6,            0.045834,            0.069555,           0.0013841,             0.70664,              0.5376,             0.59781,             0.30502,             0.04361,            0.074369,           0.0014123,             0.00901,             0.00901,             0.00901
                   7,            0.045053,            0.069329,           0.0013284,             0.71015,             0.53521,             0.59512,             0.30657,            0.043097,            0.074214,            0.001344,            0.008812,            0.008812,            0.008812
                   8,            0.044532,            0.069042,           0.0012862,             0.72016,             0.54066,             0.60478,             0.31115,            0.042892,            0.073551,           0.0013041,            0.008614,            0.008614,            0.008614
                   9,            0.044102,            0.068585,           0.0012358,             0.71823,             0.54133,             0.60995,             0.31275,            0.042686,            0.074086,           0.0013267,            0.008416,            0.008416,            0.008416
                  10,            0.043616,            0.068313,            0.001207,             0.72083,             0.55366,             0.61493,             0.32099,            0.042055,            0.073264,           0.0012475,            0.008218,            0.008218,            0.008218
                  11,            0.043277,            0.067746,           0.0011717,             0.72589,              0.5492,             0.61731,              0.3208,            0.041743,            0.072878,           0.0012046,             0.00802,             0.00802,             0.00802
                  12,            0.043042,             0.06777,           0.0011662,             0.72637,             0.55668,             0.61793,             0.32139,            0.041771,            0.072873,           0.0012626,            0.007822,            0.007822,            0.007822
                  13,            0.042787,            0.067613,             0.00114,             0.72498,             0.54814,             0.61668,              0.3213,            0.041904,            0.073632,           0.0012319,            0.007624,            0.007624,            0.007624
                  14,            0.042522,            0.067411,           0.0011093,             0.72697,             0.55934,             0.62405,             0.32417,            0.041459,            0.072503,           0.0011813,            0.007426,            0.007426,            0.007426
                  15,            0.042258,            0.067165,           0.0010965,             0.71968,             0.55161,             0.61685,             0.32159,            0.041333,             0.07277,           0.0011633,            0.007228,            0.007228,            0.007228
                  16,              0.0421,            0.067171,           0.0010809,             0.73024,              0.5563,             0.62272,             0.32729,            0.041098,            0.072104,           0.0011196,             0.00703,             0.00703,             0.00703
                  17,             0.04183,            0.066645,           0.0010626,             0.73511,             0.56688,             0.63263,             0.33153,            0.040893,             0.07192,           0.0011315,            0.006832,            0.006832,            0.006832
                  18,            0.041553,            0.066377,           0.0010498,              0.7298,             0.57212,             0.63469,             0.33209,            0.040815,            0.071642,           0.0011111,            0.006634,            0.006634,            0.006634
                  19,             0.04144,            0.066189,           0.0010516,             0.73143,             0.56602,             0.63359,             0.33218,            0.040815,            0.071923,           0.0011205,            0.006436,            0.006436,            0.006436
                  20,            0.041201,            0.065877,            0.001007,              0.7324,             0.56306,             0.63135,             0.33317,            0.040733,            0.071932,           0.0011019,            0.006238,            0.006238,            0.006238
                  21,            0.041055,            0.065692,           0.0010014,             0.72831,             0.56407,             0.63174,             0.33136,            0.040713,             0.07191,            0.001141,             0.00604,             0.00604,             0.00604
                  22,            0.040943,            0.065588,           0.0009934,             0.73734,             0.57317,              0.6374,             0.33695,            0.040316,            0.071114,           0.0010413,            0.005842,            0.005842,            0.005842
                  23,             0.04072,            0.065505,           0.0009861,             0.74011,             0.57158,              0.6358,             0.33773,            0.040189,            0.071029,            0.001043,            0.005644,            0.005644,            0.005644
                  24,            0.040478,            0.065179,          0.00095159,             0.73788,             0.56987,             0.63897,             0.33753,             0.04028,            0.071495,           0.0010432,            0.005446,            0.005446,            0.005446
