               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087514,             0.10294,            0.015123,             0.75055,             0.19511,             0.22729,            0.084991,             0.06994,            0.078465,            0.012981,            0.070152,           0.0033164,           0.0033164
                   1,            0.064398,            0.075457,           0.0078756,             0.57102,             0.43239,             0.44884,             0.17584,            0.056539,            0.077647,           0.0032192,            0.040021,           0.0065181,           0.0065181
                   2,            0.056917,            0.073132,           0.0024798,             0.62459,             0.49139,             0.52474,             0.23413,            0.051055,            0.078295,           0.0020954,            0.009757,           0.0095877,           0.0095877
                   3,              0.0512,            0.071972,           0.0018265,             0.67268,             0.51542,             0.56739,             0.27119,            0.047743,            0.076825,           0.0016348,            0.009406,            0.009406,            0.009406
                   4,            0.048263,             0.07074,           0.0016075,             0.69079,             0.52495,             0.58299,              0.2883,            0.045694,            0.075452,           0.0014991,            0.009406,            0.009406,            0.009406
                   5,            0.046861,            0.069988,           0.0014587,             0.69362,             0.53085,             0.58445,             0.30033,            0.044021,            0.075073,           0.0014476,            0.009208,            0.009208,            0.009208
                   6,            0.045799,            0.069494,           0.0013594,             0.71045,             0.54103,             0.60326,             0.30652,            0.043407,            0.074138,           0.0013601,             0.00901,             0.00901,             0.00901
                   7,            0.045104,             0.06926,           0.0013221,             0.71011,             0.53598,             0.59842,             0.30719,            0.043478,            0.075039,           0.0013463,            0.008812,            0.008812,            0.008812
                   8,            0.044593,            0.068996,           0.0012801,             0.71664,             0.54769,             0.61146,             0.31448,            0.042704,            0.073726,           0.0012597,            0.008614,            0.008614,            0.008614
                   9,            0.044099,            0.068564,           0.0012252,             0.72209,             0.54681,             0.61257,             0.31211,             0.04256,            0.073397,           0.0012994,            0.008416,            0.008416,            0.008416
                  10,            0.043621,            0.068284,           0.0011955,             0.72892,               0.548,             0.61503,             0.31853,            0.042332,            0.073627,           0.0012581,            0.008218,            0.008218,            0.008218
                  11,            0.043238,            0.067715,           0.0011637,             0.72079,             0.55101,             0.61368,             0.31936,            0.041829,            0.072751,           0.0011979,             0.00802,             0.00802,             0.00802
                  12,            0.043034,            0.067752,           0.0011572,             0.73032,              0.5527,             0.61794,             0.32131,            0.041723,            0.072806,           0.0012459,            0.007822,            0.007822,            0.007822
                  13,            0.042809,            0.067533,           0.0011344,             0.72351,             0.55071,              0.6193,             0.32236,            0.041676,            0.073111,           0.0012005,            0.007624,            0.007624,            0.007624
                  14,            0.042509,            0.067389,           0.0010991,             0.72822,             0.55854,              0.6246,             0.32363,            0.041449,            0.072564,           0.0011697,            0.007426,            0.007426,            0.007426
                  15,             0.04228,            0.067108,           0.0010923,             0.72623,             0.55246,             0.61989,             0.32323,            0.041229,            0.072543,           0.0011701,            0.007228,            0.007228,            0.007228
                  16,            0.042073,            0.067162,           0.0010776,             0.73962,             0.55596,             0.62613,              0.3277,            0.041235,            0.072258,           0.0011423,             0.00703,             0.00703,             0.00703
                  17,            0.041849,            0.066611,           0.0010616,              0.7366,             0.56263,             0.62666,             0.32926,            0.041096,            0.072167,           0.0011187,            0.006832,            0.006832,            0.006832
                  18,            0.041547,            0.066346,           0.0010453,             0.73546,              0.5678,             0.63331,             0.33119,            0.040807,            0.071668,           0.0010914,            0.006634,            0.006634,            0.006634
                  19,            0.041401,            0.066148,           0.0010434,             0.73513,             0.57014,             0.63611,             0.33411,            0.040602,            0.071507,           0.0010718,            0.006436,            0.006436,            0.006436
                  20,            0.041211,            0.065879,           0.0010028,             0.73107,             0.56889,             0.63411,             0.33519,            0.040662,            0.071603,           0.0010942,            0.006238,            0.006238,            0.006238
                  21,            0.041045,             0.06571,          0.00099933,             0.73315,              0.5685,             0.63544,             0.33503,            0.040548,             0.07144,            0.001079,             0.00604,             0.00604,             0.00604
                  22,            0.040968,            0.065561,          0.00099024,             0.73666,             0.57208,              0.6383,             0.33774,            0.040394,            0.071273,           0.0010633,            0.005842,            0.005842,            0.005842
                  23,            0.040718,            0.065452,          0.00098318,             0.73902,             0.57377,             0.63703,             0.33835,            0.040276,            0.071141,           0.0010638,            0.005644,            0.005644,            0.005644
                  24,            0.040485,            0.065171,           0.0009537,             0.73791,             0.56924,             0.63848,             0.33736,            0.040209,            0.071169,            0.001043,            0.005446,            0.005446,            0.005446
                  25,            0.040367,            0.064915,          0.00097033,             0.74235,             0.57351,             0.64277,             0.33919,            0.040138,            0.071161,           0.0010543,            0.005248,            0.005248,            0.005248
                  26,             0.04018,            0.064877,          0.00095564,             0.74051,             0.57756,             0.64425,             0.34026,            0.040107,            0.070981,           0.0010401,             0.00505,             0.00505,             0.00505
                  27,            0.040011,            0.064425,          0.00094256,              0.7328,             0.58073,             0.64556,             0.34267,            0.039944,            0.070982,           0.0010158,            0.004852,            0.004852,            0.004852
                  28,            0.039928,            0.064452,          0.00092629,             0.74494,             0.57582,             0.64735,             0.34321,            0.039938,            0.071028,           0.0010189,            0.004654,            0.004654,            0.004654
                  29,            0.039771,            0.064225,          0.00092052,              0.7413,             0.57839,             0.64511,              0.3421,            0.039953,             0.07109,           0.0010309,            0.004456,            0.004456,            0.004456
                  30,            0.039601,            0.063647,          0.00089531,             0.74541,             0.57872,             0.64616,             0.34474,             0.03976,            0.070665,           0.0010175,            0.004258,            0.004258,            0.004258
                  31,            0.039462,             0.06365,          0.00089471,              0.7443,             0.57915,             0.64711,             0.34426,            0.039795,            0.070797,           0.0010327,             0.00406,             0.00406,             0.00406
                  32,            0.039342,            0.063477,          0.00088693,             0.74589,             0.58363,             0.65071,             0.34662,            0.039707,             0.07048,           0.0010014,            0.003862,            0.003862,            0.003862
                  33,            0.039087,            0.063645,          0.00085379,             0.74439,             0.58464,             0.64844,             0.34732,            0.039594,            0.070502,          0.00099072,            0.003664,            0.003664,            0.003664
                  34,            0.039029,            0.063065,          0.00086879,             0.74375,             0.58344,             0.64959,             0.34628,            0.039653,            0.070768,          0.00099311,            0.003466,            0.003466,            0.003466
                  35,            0.038866,            0.063191,          0.00085829,             0.74362,             0.58571,             0.65065,             0.34752,            0.039568,            0.070449,          0.00098565,            0.003268,            0.003268,            0.003268
                  36,             0.03881,            0.062829,           0.0008466,             0.74192,             0.58594,             0.65114,             0.34755,            0.039605,            0.070545,          0.00099382,             0.00307,             0.00307,             0.00307
                  37,            0.038584,            0.062776,          0.00084762,             0.74607,             0.58762,             0.65325,             0.34895,            0.039535,            0.070438,          0.00098437,            0.002872,            0.002872,            0.002872
                  38,            0.038493,            0.062752,          0.00082146,             0.74689,             0.58505,             0.65253,             0.34981,            0.039462,            0.070324,          0.00097456,            0.002674,            0.002674,            0.002674
                  39,            0.038294,            0.062233,          0.00083257,             0.74381,             0.58864,             0.65413,             0.34953,            0.039563,            0.070572,          0.00098782,            0.002476,            0.002476,            0.002476
                  40,            0.038199,            0.061948,           0.0008037,             0.74808,             0.58773,             0.65444,             0.34987,            0.039498,            0.070655,          0.00098979,            0.002278,            0.002278,            0.002278
                  41,            0.038002,            0.061604,          0.00080916,             0.74942,             0.58713,             0.65503,              0.3501,            0.039459,            0.070563,          0.00097306,             0.00208,             0.00208,             0.00208
                  42,            0.037918,            0.061474,          0.00080627,             0.75209,             0.58592,             0.65448,             0.35022,            0.039442,            0.070619,          0.00098558,            0.001882,            0.001882,            0.001882
                  43,            0.037863,            0.061591,          0.00078209,             0.75258,             0.58544,             0.65555,             0.35136,            0.039405,            0.070582,          0.00097033,            0.001684,            0.001684,            0.001684
                  44,            0.037665,            0.061151,          0.00079091,             0.75378,             0.58585,             0.65465,             0.35163,            0.039411,            0.070599,          0.00098468,            0.001486,            0.001486,            0.001486
                  45,            0.037565,            0.060888,          0.00076243,             0.75277,             0.58648,             0.65496,             0.35163,            0.039399,            0.070623,          0.00097529,            0.001288,            0.001288,            0.001288
                  46,            0.037442,            0.060513,          0.00077306,             0.74819,             0.58873,             0.65454,             0.35139,            0.039445,            0.070714,          0.00098939,             0.00109,             0.00109,             0.00109
                  47,             0.03735,            0.060461,          0.00076771,             0.74955,             0.58685,             0.65477,             0.35109,             0.03946,            0.070883,          0.00098919,            0.000892,            0.000892,            0.000892
                  48,             0.03721,            0.060302,          0.00075094,             0.75004,             0.58806,             0.65541,             0.35131,            0.039483,            0.070942,          0.00099377,            0.000694,            0.000694,            0.000694
                  49,            0.037065,             0.06003,          0.00075285,             0.74896,              0.5894,             0.65479,             0.35134,            0.039437,            0.070883,          0.00099112,            0.000496,            0.000496,            0.000496
