               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087501,             0.10297,             0.01513,             0.27735,             0.20076,              0.2448,              0.1002,            0.068028,            0.078675,            0.012967,            0.070152,           0.0033164,           0.0033164
                   1,            0.064465,            0.075481,           0.0079052,             0.51987,              0.4498,               0.432,             0.17725,            0.057418,            0.077686,           0.0032179,            0.040021,           0.0065181,           0.0065181
                   2,            0.056963,            0.073179,           0.0024812,             0.63818,             0.49099,             0.53189,             0.23279,            0.052112,            0.078389,           0.0020704,            0.009757,           0.0095877,           0.0095877
                   3,            0.051271,            0.071888,           0.0018286,             0.68191,             0.51236,             0.56976,             0.27535,            0.046339,            0.076192,            0.001693,            0.009406,            0.009406,            0.009406
                   4,            0.048301,             0.07069,            0.001605,             0.69531,             0.52904,             0.58625,              0.2925,            0.045485,            0.075542,            0.001508,            0.009406,            0.009406,            0.009406
                   5,            0.046756,            0.069942,           0.0014592,             0.69779,             0.53337,             0.58969,             0.30048,            0.044057,            0.074983,           0.0014403,            0.009208,            0.009208,            0.009208
                   6,            0.045789,            0.069495,           0.0013622,             0.70429,             0.53697,             0.59661,             0.30391,            0.043627,            0.074643,           0.0013881,             0.00901,             0.00901,             0.00901
                   7,            0.045093,            0.069249,           0.0013168,             0.70336,             0.53786,             0.59731,             0.30779,            0.043331,             0.07452,           0.0013418,            0.008812,            0.008812,            0.008812
                   8,            0.044548,            0.068962,           0.0012763,             0.71984,             0.54541,             0.60997,             0.31171,            0.043081,            0.073733,           0.0012763,            0.008614,            0.008614,            0.008614
                   9,            0.044098,            0.068515,           0.0012269,             0.72539,             0.54869,             0.61703,             0.31682,            0.042351,            0.073767,           0.0012589,            0.008416,            0.008416,            0.008416
                  10,            0.043585,             0.06828,           0.0011946,             0.72754,             0.54607,             0.61469,             0.31811,            0.042214,            0.073479,           0.0012646,            0.008218,            0.008218,            0.008218
                  11,            0.043295,            0.067693,           0.0011638,             0.72535,             0.54554,             0.61227,             0.31915,            0.042156,            0.073327,           0.0012161,             0.00802,             0.00802,             0.00802
                  12,            0.043037,            0.067711,           0.0011596,             0.72334,             0.55578,              0.6169,             0.32201,            0.041854,            0.072954,           0.0012253,            0.007822,            0.007822,            0.007822
                  13,            0.042775,            0.067524,           0.0011334,             0.72565,             0.54499,             0.61651,             0.31885,            0.042051,            0.074301,           0.0012226,            0.007624,            0.007624,            0.007624
                  14,            0.042477,            0.067381,           0.0010986,             0.73497,             0.55584,             0.62623,             0.32535,            0.041342,            0.072647,           0.0011779,            0.007426,            0.007426,            0.007426
                  15,            0.042306,            0.067146,           0.0010946,             0.72453,             0.55433,             0.62151,             0.32287,            0.041368,            0.072357,           0.0012103,            0.007228,            0.007228,            0.007228
                  16,             0.04203,            0.067134,           0.0010816,             0.73877,             0.55329,             0.62352,             0.32653,            0.041273,            0.072887,             0.00115,             0.00703,             0.00703,             0.00703
                  17,            0.041853,            0.066614,           0.0010655,             0.73564,             0.56401,             0.62965,             0.33085,             0.04099,            0.071815,           0.0011154,            0.006832,            0.006832,            0.006832
                  18,            0.041525,            0.066358,           0.0010467,             0.73346,             0.56214,             0.63162,             0.32984,             0.04101,            0.072133,           0.0011159,            0.006634,            0.006634,            0.006634
                  19,            0.041452,            0.066155,            0.001044,             0.74077,             0.56609,             0.63543,             0.33357,             0.04071,            0.071572,           0.0011069,            0.006436,            0.006436,            0.006436
                  20,            0.041201,             0.06586,           0.0010049,             0.73354,             0.56666,             0.63336,             0.33417,            0.040582,            0.071677,            0.001099,            0.006238,            0.006238,            0.006238
                  21,            0.041075,            0.065704,           0.0010009,             0.73759,             0.56429,             0.63439,             0.33355,            0.040526,            0.071399,           0.0010806,             0.00604,             0.00604,             0.00604
                  22,            0.040945,             0.06553,          0.00098978,             0.73453,             0.57423,             0.63829,             0.33749,            0.040314,            0.071088,           0.0010389,            0.005842,            0.005842,            0.005842
                  23,            0.040705,            0.065468,          0.00098437,             0.74467,             0.57058,             0.63894,             0.33848,            0.040306,            0.071127,           0.0010567,            0.005644,            0.005644,            0.005644
                  24,            0.040474,            0.065206,          0.00095327,             0.73505,             0.56935,             0.63666,             0.33667,            0.040309,             0.07119,           0.0010518,            0.005446,            0.005446,            0.005446
                  25,            0.040366,            0.064908,          0.00097034,             0.74195,             0.57081,             0.64084,             0.33807,            0.040254,            0.071338,            0.001051,            0.005248,            0.005248,            0.005248
                  26,            0.040186,            0.064893,          0.00095423,             0.74179,             0.57917,             0.64481,             0.34025,            0.040245,            0.071011,           0.0010564,             0.00505,             0.00505,             0.00505
                  27,            0.040007,            0.064418,          0.00094135,             0.74056,             0.57997,             0.64321,             0.34314,            0.039872,            0.070633,            0.001026,            0.004852,            0.004852,            0.004852
                  28,            0.039939,            0.064431,          0.00093092,             0.74941,             0.57557,             0.64738,             0.34465,            0.039897,            0.070917,           0.0010137,            0.004654,            0.004654,            0.004654
                  29,             0.03973,            0.064184,          0.00092275,             0.74122,             0.58009,             0.64732,             0.34295,            0.040051,            0.071245,           0.0010327,            0.004456,            0.004456,            0.004456
                  30,            0.039584,            0.063625,          0.00089872,              0.7456,             0.57734,              0.6461,             0.34357,            0.039903,            0.071002,           0.0010207,            0.004258,            0.004258,            0.004258
                  31,            0.039435,            0.063654,          0.00089737,             0.74731,             0.57716,              0.6479,             0.34359,            0.039797,            0.070822,           0.0010164,             0.00406,             0.00406,             0.00406
                  32,            0.039346,            0.063478,          0.00088988,             0.74595,             0.58257,             0.64881,             0.34438,            0.039843,             0.07062,          0.00099918,            0.003862,            0.003862,            0.003862
                  33,            0.039083,            0.063643,          0.00085459,             0.74808,             0.57967,             0.64921,             0.34687,            0.039666,            0.070602,          0.00099953,            0.003664,            0.003664,            0.003664
                  34,            0.039022,            0.063063,          0.00087454,             0.74847,             0.58216,             0.64986,             0.34665,            0.039661,            0.070625,          0.00099172,            0.003466,            0.003466,            0.003466
                  35,            0.038863,            0.063178,          0.00085702,             0.74543,             0.58114,             0.65018,             0.34674,            0.039582,            0.070491,          0.00098827,            0.003268,            0.003268,            0.003268
                  36,              0.0388,            0.062808,          0.00084557,             0.74681,             0.58218,              0.6515,             0.34778,            0.039561,            0.070646,          0.00099116,             0.00307,             0.00307,             0.00307
                  37,            0.038564,            0.062764,          0.00085088,             0.74978,             0.58361,             0.65283,             0.34817,            0.039581,            0.070596,          0.00098967,            0.002872,            0.002872,            0.002872
                  38,            0.038493,            0.062734,          0.00082155,             0.74847,             0.58439,             0.65309,             0.34977,            0.039432,            0.070311,          0.00096447,            0.002674,            0.002674,            0.002674
                  39,            0.038299,            0.062228,          0.00083457,             0.74942,             0.58591,             0.65425,             0.35002,            0.039491,              0.0706,           0.0010003,            0.002476,            0.002476,            0.002476
                  40,              0.0382,            0.061963,          0.00081125,             0.74982,             0.58591,             0.65382,             0.34941,            0.039442,            0.070531,          0.00098172,            0.002278,            0.002278,            0.002278
                  41,            0.037982,            0.061581,          0.00080823,             0.74836,             0.58736,             0.65453,             0.34999,            0.039435,             0.07056,          0.00098477,             0.00208,             0.00208,             0.00208
                  42,            0.037918,            0.061478,          0.00080765,             0.75125,             0.58577,             0.65385,              0.3503,            0.039505,              0.0707,            0.000981,            0.001882,            0.001882,            0.001882
                  43,            0.037875,            0.061614,           0.0007812,             0.75184,             0.58531,             0.65374,             0.35072,            0.039462,            0.070771,          0.00097146,            0.001684,            0.001684,            0.001684
                  44,            0.037641,            0.061137,          0.00079009,             0.75015,             0.58663,             0.65422,             0.35034,            0.039454,            0.070694,          0.00097872,            0.001486,            0.001486,            0.001486
