epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9358,1.77031,2.70471,1.17006,0.01894,0.28024,0.07229,0.04884,1.61728,3.05101,1.01548,0.0027,0.0027,0.0027
2,60.1721,1.5658,1.34854,1.07311,0.41317,0.101,0.14946,0.09613,1.6399,2.83546,1.0362,0.00548911,0.00548911,0.00548911
3,88.0907,1.56042,1.2402,1.07044,0.88062,0.08202,0.23705,0.1351,1.67303,2.48858,1.05718,0.00826713,0.00826713,0.00826713
4,115.468,1.57343,1.19835,1.06814,0.6387,0.22564,0.32059,0.1728,1.62881,1.80624,1.06397,0.0099406,0.0099406,0.0099406
5,142.946,1.53215,1.12558,1.05767,0.47299,0.32333,0.32412,0.16609,1.70715,1.44437,1.09525,0.0099208,0.0099208,0.0099208
6,170.598,1.50704,1.07254,1.04849,0.47962,0.33406,0.34104,0.17058,1.74048,1.24244,1.11603,0.009901,0.009901,0.009901
7,198.046,1.48852,1.03476,1.03538,0.50871,0.31609,0.34572,0.17975,1.61318,1.16661,1.07649,0.0098812,0.0098812,0.0098812
8,225.818,1.46939,1.00223,1.03058,0.49812,0.3588,0.37356,0.19308,1.58809,1.10856,1.06832,0.0098614,0.0098614,0.0098614
9,253.217,1.44701,0.97391,1.02343,0.5082,0.38512,0.38418,0.20435,1.55264,1.07084,1.05753,0.0098416,0.0098416,0.0098416
10,281.367,1.43884,0.9529,1.01656,0.52646,0.35769,0.37539,0.19485,1.59297,1.0979,1.05902,0.0098218,0.0098218,0.0098218
11,308.963,1.41513,0.92857,1.00745,0.48365,0.36978,0.37696,0.19876,1.56784,1.05968,1.06854,0.009802,0.009802,0.009802
12,335.35,1.40682,0.91022,1.00339,0.50927,0.38596,0.40145,0.2091,1.53359,1.0364,1.05104,0.0097822,0.0097822,0.0097822
13,362.365,1.39451,0.8966,1.00125,0.51622,0.37401,0.38282,0.20224,1.54533,1.05857,1.07385,0.0097624,0.0097624,0.0097624
14,389.788,1.39219,0.8862,1.0067,0.54623,0.38545,0.40901,0.21092,1.54547,0.9901,1.04861,0.0097426,0.0097426,0.0097426
15,416.871,1.382,0.87848,0.99482,0.55134,0.36882,0.40393,0.21185,1.52151,1.00679,1.04411,0.0097228,0.0097228,0.0097228
