epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9184,1.71572,1.85964,1.14591,0.37902,0.1999,0.19873,0.10133,1.65794,1.06425,1.01973,0.0708571,0.0032381,0.0032381
2,54.249,1.47794,0.9279,0.99546,0.43937,0.24418,0.24928,0.12515,1.60527,0.88422,0.99313,0.0408571,0.00657136,0.00657136
3,77.3665,1.4931,0.90026,0.98731,0.4476,0.23504,0.24432,0.12661,1.54115,0.88928,0.98009,0.0108568,0.00990437,0.00990437
4,101.568,1.48749,0.86345,0.98085,0.49314,0.2588,0.27268,0.14118,1.47511,0.94754,0.97428,0.00999912,0.00999912,0.00999912
5,124.909,1.4353,0.80566,0.96433,0.50405,0.2695,0.28076,0.15162,1.42745,0.80704,0.96624,0.00999844,0.00999844,0.00999844
6,149.264,1.39722,0.77673,0.95451,0.52866,0.27289,0.29425,0.15297,1.44413,0.81024,0.96682,0.00999756,0.00999756,0.00999756
7,172.709,1.369,0.75439,0.9469,0.53104,0.27082,0.28925,0.15325,1.43278,0.80749,0.96536,0.00999648,0.00999648,0.00999648
8,196.909,1.35119,0.74555,0.9434,0.52436,0.28049,0.30145,0.15733,1.43169,0.79043,0.9629,0.00999521,0.00999521,0.00999521
9,220.25,1.32995,0.72724,0.93643,0.53292,0.28385,0.30422,0.16151,1.42482,0.77525,0.96412,0.00999375,0.00999375,0.00999375
10,244.484,1.31874,0.71681,0.93413,0.54944,0.287,0.30612,0.16622,1.38546,0.75027,0.96058,0.00999209,0.00999209,0.00999209
11,267.882,1.30668,0.70848,0.93034,0.52831,0.29907,0.3184,0.16708,1.40625,0.75891,0.95446,0.00999023,0.00999023,0.00999023
12,291.957,1.29442,0.70135,0.92709,0.52907,0.29405,0.31035,0.1656,1.39347,0.74016,0.95121,0.00998818,0.00998818,0.00998818
13,316.408,1.28592,0.691,0.92576,0.54057,0.30076,0.32004,0.17293,1.34667,0.7321,0.94388,0.00998594,0.00998594,0.00998594
14,339.831,1.27085,0.68446,0.9221,0.56155,0.30532,0.32781,0.17549,1.37084,0.73456,0.94952,0.0099835,0.0099835,0.0099835
15,364.263,1.25591,0.67567,0.91651,0.55625,0.30434,0.32641,0.17594,1.34185,0.72454,0.94493,0.00998086,0.00998086,0.00998086
16,387.607,1.26036,0.67278,0.91762,0.53748,0.31279,0.32715,0.1736,1.36826,0.73152,0.9447,0.00997803,0.00997803,0.00997803
17,411.743,1.24643,0.66867,0.91432,0.5485,0.30641,0.32928,0.17693,1.35398,0.72164,0.94723,0.00997501,0.00997501,0.00997501
18,435.135,1.2349,0.66267,0.91334,0.53988,0.30477,0.32239,0.17484,1.33643,0.72405,0.94981,0.00997179,0.00997179,0.00997179
19,459.46,1.2351,0.66323,0.91159,0.54697,0.30887,0.33026,0.17668,1.35384,0.72106,0.94466,0.00996838,0.00996838,0.00996838
20,482.956,1.22191,0.65458,0.90909,0.55899,0.30844,0.33239,0.17774,1.35486,0.72385,0.94372,0.00996477,0.00996477,0.00996477
21,507.427,1.2235,0.65352,0.90915,0.55728,0.3058,0.3318,0.17824,1.35723,0.7219,0.94608,0.00996097,0.00996097,0.00996097
22,530.716,1.21263,0.64471,0.90784,0.56422,0.31685,0.34431,0.18571,1.33043,0.71234,0.94529,0.00995697,0.00995697,0.00995697
