epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.266,1.58909,1.5764,1.08477,0.53874,0.37733,0.40047,0.21697,1.46426,1.05026,1.00967,0.00332112,0.00332112,0.00332112
2,680.807,1.4955,1.07715,1.03978,0.56504,0.40858,0.43891,0.2328,1.44814,0.98011,0.99836,0.00658126,0.00658126,0.00658126
3,1003.82,1.4887,1.01034,1.03616,0.56809,0.39606,0.42548,0.22111,1.49,1.00237,1.02412,0.00976806,0.00976806,0.00976806
4,1325.09,1.48471,0.96758,1.03631,0.57701,0.41315,0.44016,0.23591,1.4394,1.03432,1.0151,0.00967,0.00967,0.00967
5,1643.7,1.45106,0.92193,1.02578,0.59536,0.43685,0.47909,0.24971,1.41789,0.89229,0.99937,0.00956,0.00956,0.00956
6,1959.97,1.42791,0.89587,1.01836,0.62482,0.45482,0.49646,0.26483,1.39999,0.88051,0.99229,0.00945,0.00945,0.00945
7,2278.72,1.40931,0.87566,1.01156,0.6135,0.45805,0.49904,0.2639,1.38852,0.86846,0.9886,0.00934,0.00934,0.00934
8,2597.37,1.39223,0.86039,1.00717,0.63235,0.46217,0.51071,0.27315,1.37491,0.83592,0.98415,0.00923,0.00923,0.00923
9,2917.95,1.38879,0.85169,1.00612,0.6286,0.46777,0.51263,0.27641,1.368,0.83782,0.98025,0.00912,0.00912,0.00912
10,3235.07,1.37908,0.843,1.003,0.64143,0.4767,0.5251,0.28369,1.3528,0.81901,0.97395,0.00901,0.00901,0.00901
11,3547.52,1.37102,0.83331,0.99963,0.65074,0.4834,0.534,0.28649,1.34035,0.8023,0.97187,0.0089,0.0089,0.0089
12,3865.28,1.36507,0.82846,0.99791,0.65117,0.48083,0.53332,0.28954,1.33012,0.79561,0.97144,0.00879,0.00879,0.00879
13,4181.45,1.36197,0.82358,0.99666,0.65624,0.48598,0.53624,0.28782,1.34295,0.80689,0.96919,0.00868,0.00868,0.00868
14,4494.33,1.35949,0.81717,0.99427,0.65414,0.49382,0.54534,0.29367,1.32875,0.78422,0.9671,0.00857,0.00857,0.00857
15,4813.7,1.34727,0.81275,0.99175,0.66364,0.49283,0.55234,0.298,1.31902,0.77872,0.96354,0.00846,0.00846,0.00846
16,5133.93,1.34513,0.80473,0.99017,0.66761,0.50126,0.55709,0.30361,1.30596,0.76407,0.95801,0.00835,0.00835,0.00835
17,5452.23,1.3403,0.80083,0.98934,0.67433,0.49884,0.55794,0.30304,1.30986,0.76592,0.95818,0.00824,0.00824,0.00824
18,5770.91,1.33807,0.79797,0.98774,0.67464,0.50211,0.56447,0.30662,1.3001,0.75981,0.95579,0.00813,0.00813,0.00813
19,6086.92,1.33323,0.79513,0.98662,0.67059,0.50399,0.56266,0.30476,1.29608,0.75334,0.95503,0.00802,0.00802,0.00802
20,6402.78,1.33135,0.7938,0.98648,0.67914,0.51024,0.571,0.30931,1.29246,0.74618,0.95257,0.00791,0.00791,0.00791
21,6719.57,1.32947,0.78907,0.98502,0.67769,0.50692,0.56852,0.31121,1.28992,0.74412,0.95288,0.0078,0.0078,0.0078
22,7034.5,1.32668,0.78682,0.98395,0.67571,0.51316,0.57201,0.31248,1.28354,0.74185,0.95096,0.00769,0.00769,0.00769
23,7352.1,1.33134,0.7876,0.98488,0.68536,0.51342,0.57449,0.313,1.28212,0.73784,0.94955,0.00758,0.00758,0.00758
24,7669,1.32264,0.78102,0.98247,0.68442,0.51659,0.5778,0.31594,1.27588,0.73111,0.94797,0.00747,0.00747,0.00747
25,7985.28,1.31719,0.77801,0.9813,0.68851,0.5174,0.58073,0.31766,1.27347,0.72712,0.94673,0.00736,0.00736,0.00736
26,8301.82,1.31526,0.77882,0.98231,0.68977,0.51898,0.58219,0.31872,1.26825,0.72922,0.94629,0.00725,0.00725,0.00725
27,8616.87,1.31659,0.77333,0.97925,0.68906,0.5222,0.58362,0.32087,1.26708,0.72111,0.9444,0.00714,0.00714,0.00714
28,8930.66,1.31389,0.77247,0.97806,0.69057,0.52215,0.58379,0.32051,1.26625,0.72115,0.94484,0.00703,0.00703,0.00703
29,9246.7,1.30904,0.77115,0.97752,0.69323,0.5245,0.58903,0.32249,1.26492,0.71752,0.9423,0.00692,0.00692,0.00692
30,9561.31,1.30712,0.76712,0.97625,0.6953,0.5243,0.59009,0.32412,1.26182,0.71442,0.94126,0.00681,0.00681,0.00681
