epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8944,1.37694,1.12294,1.03057,0.59027,0.434,0.47083,0.25427,1.384,0.83393,0.9842,0.0701923,0.00331197,0.00331197
2,154.363,1.28532,0.80379,0.9758,0.62895,0.44001,0.49061,0.26645,1.36497,0.83801,0.98828,0.0401922,0.00664523,0.00664523
3,229.853,1.29954,0.80069,0.97933,0.60288,0.43251,0.46655,0.23917,1.46397,0.96609,1.0244,0.0101919,0.00997824,0.00997824
4,306.125,1.31651,0.80949,0.98666,0.59531,0.43339,0.46975,0.24961,1.43878,0.91606,1.01935,0.00999912,0.00999912,0.00999912
5,381.661,1.27182,0.76283,0.97035,0.60965,0.45617,0.48807,0.26132,1.42607,0.90264,1.012,0.00999844,0.00999844,0.00999844
6,458.169,1.23874,0.73248,0.95999,0.62674,0.44607,0.48839,0.25504,1.44702,0.87641,1.01964,0.00999756,0.00999756,0.00999756
7,533.818,1.21103,0.70882,0.95003,0.64462,0.45877,0.50085,0.26881,1.40747,0.85235,1.01757,0.00999648,0.00999648,0.00999648
8,609.882,1.18963,0.69269,0.94375,0.65185,0.46493,0.5177,0.2763,1.40389,0.81598,1.00392,0.00999521,0.00999521,0.00999521
9,685.295,1.16835,0.67537,0.93589,0.65743,0.46308,0.52438,0.28054,1.39372,0.80619,0.99864,0.00999375,0.00999375,0.00999375
10,760.892,1.14698,0.66014,0.93259,0.66877,0.4754,0.53158,0.28381,1.40561,0.79576,0.99546,0.00999209,0.00999209,0.00999209
11,836.304,1.12789,0.64474,0.92517,0.65982,0.48709,0.53751,0.28565,1.3983,0.78841,0.99902,0.00999023,0.00999023,0.00999023
12,912.655,1.11419,0.63363,0.92095,0.65936,0.48161,0.53233,0.28744,1.36836,0.7774,0.99188,0.00998818,0.00998818,0.00998818
13,988.783,1.09614,0.62346,0.91769,0.67731,0.48412,0.54155,0.29131,1.3748,0.78357,0.99092,0.00998594,0.00998594,0.00998594
14,1064.52,1.08504,0.6135,0.91328,0.66545,0.48878,0.5417,0.28839,1.3769,0.76762,0.9916,0.0099835,0.0099835,0.0099835
15,1139.75,1.06647,0.60309,0.90781,0.67119,0.48617,0.5433,0.29202,1.38752,0.77765,0.9951,0.00998086,0.00998086,0.00998086
16,1215.26,1.06084,0.5994,0.9072,0.67208,0.49401,0.55371,0.2956,1.3679,0.77037,0.98808,0.00997803,0.00997803,0.00997803
17,1291.14,1.04041,0.58795,0.90175,0.67539,0.49828,0.55304,0.2986,1.36539,0.76199,0.99197,0.00997501,0.00997501,0.00997501
18,1366.8,1.03699,0.58432,0.9009,0.68633,0.49605,0.55567,0.29797,1.36539,0.74996,0.9863,0.00997179,0.00997179,0.00997179
19,1441.43,1.02667,0.57784,0.89906,0.68376,0.49567,0.55523,0.30192,1.35136,0.74436,0.9837,0.00996838,0.00996838,0.00996838
20,1516.6,1.01386,0.57107,0.89591,0.68038,0.49136,0.5497,0.29489,1.35857,0.74845,0.98332,0.00996477,0.00996477,0.00996477
21,1591.5,1.00685,0.56601,0.89487,0.67386,0.51072,0.5624,0.30364,1.34718,0.74089,0.98577,0.00996097,0.00996097,0.00996097
22,1666.88,0.99777,0.56052,0.89291,0.68605,0.50722,0.5658,0.30511,1.3475,0.73674,0.9842,0.00995697,0.00995697,0.00995697
23,1742.66,0.9842,0.55389,0.88902,0.68322,0.50804,0.565,0.30329,1.35889,0.74309,0.98243,0.00995278,0.00995278,0.00995278
24,1818.19,0.98006,0.551,0.88891,0.6913,0.50575,0.56621,0.30497,1.34978,0.74463,0.98037,0.0099484,0.0099484,0.0099484
25,1893.27,0.96871,0.54266,0.88562,0.68804,0.51376,0.56896,0.30832,1.33511,0.72386,0.97835,0.00994383,0.00994383,0.00994383
26,1969.18,0.9656,0.54209,0.8856,0.68386,0.51228,0.57036,0.30762,1.34754,0.73473,0.98019,0.00993906,0.00993906,0.00993906
27,2044.49,0.96522,0.54216,0.88629,0.68441,0.51431,0.56837,0.30523,1.3447,0.72693,0.9836,0.0099341,0.0099341,0.0099341
28,2120.08,0.95737,0.53631,0.88234,0.69124,0.51476,0.57267,0.30887,1.33937,0.72087,0.98136,0.00992894,0.00992894,0.00992894
29,2195.81,0.95049,0.53434,0.88226,0.69316,0.51372,0.57321,0.31048,1.33301,0.71801,0.9788,0.00992359,0.00992359,0.00992359
30,2271.67,0.94018,0.52839,0.87884,0.69273,0.51418,0.57365,0.31014,1.32308,0.71141,0.97469,0.00991805,0.00991805,0.00991805
31,2347.56,0.93452,0.52394,0.8776,0.70447,0.51665,0.58334,0.3132,1.33111,0.71591,0.97278,0.00991232,0.00991232,0.00991232
32,2422.66,0.92444,0.52056,0.87614,0.6984,0.52318,0.58151,0.31458,1.3216,0.70992,0.97534,0.0099064,0.0099064,0.0099064
33,2498.1,0.92396,0.51852,0.87672,0.69919,0.51879,0.58013,0.31271,1.32294,0.71409,0.97241,0.00990028,0.00990028,0.00990028
34,2573.38,0.91819,0.51478,0.87449,0.69808,0.51772,0.58185,0.31384,1.32529,0.71723,0.97222,0.00989398,0.00989398,0.00989398
35,2649.29,0.91656,0.51655,0.8751,0.69917,0.52056,0.57867,0.31388,1.3191,0.70895,0.97257,0.00988748,0.00988748,0.00988748
36,2725.39,0.91574,0.51483,0.87479,0.70029,0.52624,0.5846,0.31742,1.30804,0.7036,0.97338,0.00988079,0.00988079,0.00988079
37,2801.11,0.90807,0.51165,0.87266,0.70578,0.52704,0.58957,0.31916,1.31375,0.70962,0.97056,0.00987391,0.00987391,0.00987391
38,2876.82,0.90755,0.51043,0.87286,0.70481,0.52801,0.59164,0.31892,1.31647,0.70266,0.96834,0.00986684,0.00986684,0.00986684
39,2952.07,0.90483,0.50853,0.87135,0.70454,0.52869,0.59315,0.32128,1.30821,0.70396,0.96667,0.00985958,0.00985958,0.00985958
40,3027.73,0.89562,0.50257,0.86943,0.7171,0.5323,0.59687,0.32461,1.29519,0.6948,0.96355,0.00985213,0.00985213,0.00985213
41,3102.98,0.88999,0.49943,0.86773,0.70703,0.53135,0.58988,0.32015,1.30582,0.69736,0.9662,0.00984449,0.00984449,0.00984449
42,3178.58,0.89252,0.50134,0.86894,0.70445,0.53427,0.59263,0.32311,1.29753,0.69292,0.96557,0.00983666,0.00983666,0.00983666
43,3253.93,0.88674,0.49795,0.86813,0.70634,0.53113,0.5919,0.32069,1.30067,0.68859,0.96536,0.00982864,0.00982864,0.00982864
44,3329.45,0.88568,0.49833,0.86805,0.70818,0.53655,0.5975,0.3233,1.30055,0.69223,0.96734,0.00982043,0.00982043,0.00982043
45,3405.21,0.87996,0.49467,0.86698,0.72068,0.52922,0.59537,0.32167,1.30073,0.69132,0.96628,0.00981204,0.00981204,0.00981204
46,3480.73,0.87672,0.4925,0.86559,0.70965,0.53767,0.59662,0.32448,1.29631,0.68952,0.96337,0.00980345,0.00980345,0.00980345
